time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,ghi
2023-01-01 00:10:00+00:00,0.0,0.0,0.0,0.0,10.73,3.72,0,0.0
2023-01-01 01:10:00+00:00,0.0,0.0,0.0,0.0,10.61,3.86,0,0.0
2023-01-01 02:10:00+00:00,0.0,0.0,0.0,0.0,10.45,3.86,0,0.0
2023-01-01 03:10:00+00:00,0.0,0.0,0.0,0.0,10.08,3.72,0,0.0
2023-01-01 04:10:00+00:00,0.0,0.0,0.0,0.0,9.89,3.66,0,0.0
2023-01-01 05:10:00+00:00,0.0,0.0,0.0,0.0,9.73,3.59,0,0.0
2023-01-01 06:10:00+00:00,0.0,0.0,0.0,0.0,9.32,3.38,0,0.0
2023-01-01 07:10:00+00:00,0.0,0.0,0.0,0.0,9.28,3.45,0,0.0
2023-01-01 08:10:00+00:00,45.99,30.0,0.0,6.09,9.06,3.31,0,75.99000000000001
2023-01-01 09:10:00+00:00,82.99,78.0,0.0,12.24,10.08,3.17,0,160.99
2023-01-01 10:10:00+00:00,122.99,105.0,0.0,16.46,11.7,3.03,0,227.99
2023-01-01 11:10:00+00:00,231.99,67.0,0.0,18.39,12.93,2.62,0,298.99
2023-01-01 12:10:00+00:00,198.99,79.0,0.0,17.83,13.63,2.62,0,277.99
2023-01-01 13:10:00+00:00,143.99,75.0,0.0,14.84,13.84,2.41,0,218.99
2023-01-01 14:10:00+00:00,61.99,59.0,0.0,9.71,13.38,2.21,0,120.99000000000001
2023-01-01 15:10:00+00:00,3.0,14.36,0.0,2.85,11.9,2.21,0,17.36
2023-01-01 16:10:00+00:00,0.0,0.0,0.0,0.0,10.17,2.28,0,0.0
2023-01-01 17:10:00+00:00,0.0,0.0,0.0,0.0,8.82,2.34,0,0.0
2023-01-01 18:10:00+00:00,0.0,0.0,0.0,0.0,7.86,2.41,0,0.0
2023-01-01 19:10:00+00:00,0.0,0.0,0.0,0.0,8.17,2.76,0,0.0
2023-01-01 20:10:00+00:00,0.0,0.0,0.0,0.0,8.18,2.97,0,0.0
2023-01-01 21:10:00+00:00,0.0,0.0,0.0,0.0,8.24,3.03,0,0.0
2023-01-01 22:10:00+00:00,0.0,0.0,0.0,0.0,8.1,2.9,0,0.0
2023-01-01 23:10:00+00:00,0.0,0.0,0.0,0.0,7.73,2.83,0,0.0
2023-01-02 00:10:00+00:00,0.0,0.0,0.0,0.0,7.45,2.83,0,0.0
2023-01-02 01:10:00+00:00,0.0,0.0,0.0,0.0,7.27,2.9,0,0.0
2023-01-02 02:10:00+00:00,0.0,0.0,0.0,0.0,7.18,2.9,0,0.0
2023-01-02 03:10:00+00:00,0.0,0.0,0.0,0.0,7.09,2.83,0,0.0
2023-01-02 04:10:00+00:00,0.0,0.0,0.0,0.0,6.86,2.83,0,0.0
2023-01-02 05:10:00+00:00,0.0,0.0,0.0,0.0,6.65,2.76,0,0.0
2023-01-02 06:10:00+00:00,0.0,0.0,0.0,0.0,6.34,2.69,0,0.0
2023-01-02 07:10:00+00:00,0.0,0.0,0.0,0.0,7.43,2.9,0,0.0
2023-01-02 08:10:00+00:00,17.0,41.0,0.0,6.12,7.71,2.69,0,58.0
2023-01-02 09:10:00+00:00,132.99,52.0,0.0,12.28,8.9,2.41,0,184.99
2023-01-02 10:10:00+00:00,120.99,107.0,0.0,16.52,10.91,1.86,0,227.99
2023-01-02 11:10:00+00:00,183.99,96.0,0.0,18.47,12.62,2.0,0,279.99
2023-01-02 12:10:00+00:00,241.99,57.0,0.0,17.93,13.19,2.55,0,298.99
2023-01-02 13:10:00+00:00,144.99,76.0,0.0,14.95,12.92,4.0,0,220.99
2023-01-02 14:10:00+00:00,4.0,61.0,0.0,9.83,12.14,4.48,0,65.0
2023-01-02 15:10:00+00:00,0.0,6.0,0.0,2.97,11.01,4.14,0,6.0
2023-01-02 16:10:00+00:00,0.0,0.0,0.0,0.0,10.15,4.14,0,0.0
2023-01-02 17:10:00+00:00,0.0,0.0,0.0,0.0,9.69,4.28,0,0.0
2023-01-02 18:10:00+00:00,0.0,0.0,0.0,0.0,9.43,4.0,0,0.0
